"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","es:Español (Spain:Spanish es-ES)","it:italian","gr:Greenland"
"@Maksimal linie længde for beskrivelse, inden der brydes til ny linie, målt i mm. ","Maksimal linie længde for beskrivelse, inden der brydes til ny linie, målt i mm. ","Maximum line length of the description before is broken into a new line, measured in millimeters. ","Maximale Leitungslänge der Beschreibung, bevor in eine neue Linie gebrochen, in Millimetern gemessen. ","Longueur maximale de la ligne de la description avant est divisé en une nouvelle ligne, mesurée en millimètres. ","Açıklamanın maksimum hat uzunluğu önce milimetre cinsinden ölçülür, yeni bir satır ayrılır. ","longitud máxima de línea de la descripción antes de que se rompe en una nueva línea, medida en milímetros. ","Massima lunghezza della linea della descrizione prima è suddiviso in una nuova linea, misurata in millimetri. ",
"@Manual, tips og anden hjælp finder du på","Manual, tips og anden hjælp finder du på","Manual, tips and other help can be found at","Handbuch, Tipps und andere Hilfe finden Sie unter","Manuel, conseils et autres formes d'aide peuvent être trouvés à","Manuel, ipuçları ve diğer yardım bulunabilir","Manuales, consejos y otro tipo de ayuda se pueden encontrar en","Manuale, consigli e altro aiuto può essere trovato alla",
"@Massefakturering","Massefakturering","Mass Billing","Massenabrechnung","facturation de masse","Toplu Fatura","facturación de masas","Fatturazione massa",
"@Materiale egenskaber","Materiale egenskaber","material properties","Materialeigenschaften","propriétés matérielles","malzeme özellikleri","propiedades de los materiales","proprietà dei materiali",
"@Materiale","Materiale","Substance","Material","matériel","malzeme","material","materiale",
"@Materiale.","Materiale.","Substance.","Material.","Matériel.","Malzeme.","Material.","Materiale.",
"@Materialets massefylde","Materialets massefylde","Density of the material","Dichte des Materials","La densité du matériau","malzemenin yoğunluğu","Densidad del material","Densità del materiale",
"@Max. antal linier, som vises pr. side: ","Max. antal linier, som vises pr. side: ","Max. number of lines displayed per. page: ","Max. Anzahl der angezeigten Zeilen pro. Seite: ","Max. nombre de lignes affichées par. page: ","Maks. satır sayısı per görüntülenir. sayfa: ","Max. número de líneas está representada por. página: ","Max. il numero di righe da mostrare per. pagina: ",
"@Max.","Max.","Max.","Max.","Max.","Maks.","Max.","Max.",
"@Medarbejderens mail","Medarbejderens mail","Employee mail","Mitarbeiter Mail","mail Employé","Çalışan posta","electrónico de los empleados","posta elettronica dei dipendenti",
"@Medarbejdernr","Medarbejdernr","employeeNo","employeeNo","employeeNo","employeeNo","employeeNo","employeeNo",
"@Medlem af debitorgruppe","Medlem af debitorgruppe","Member of the debtor group","Mitglied des Schuldners Gruppe","Membre du groupe débiteur","Borçlu grubunun üyesi","Miembro del grupo deudor","Membro del gruppo di debitori",
"@Medlem af kreditorgruppe","Medlem af kreditorgruppe","Member of the creditor group","Mitglied des Gläubigergruppe","Membre du groupe de créanciers","kredi grubunun üyesi","Miembro del grupo de acreedores","Membro del gruppo di creditori",
"@Medtag kommentarer på følgesedler","Medtag kommentarer på følgesedler","Include comments on slips","Fügen Sie Kommentare zu rutscht","Inclure les commentaires sur les bordereaux","fişleri dair açıklamalar","Incluir comentarios sobre los resbalones","Includere commenti su slittamenti",
"@Medtag kun linjer med angivet antal på følgeseddel","Medtag kun linjer med angivet antal på følgeseddel","Include only lines with given number of delivery note","Fügen Sie nur Linien mit bestimmten Anzahl von Lieferschein","Inclure uniquement les lignes avec un nombre donné de bordereau de livraison","irsaliye Belirli sayıda tek hatları şunlardır","Incluir sólo las líneas con determinado número de albarán de entrega","Includere solo linee con dato numero di bolla di consegna",
"@Medtag lagerbevægelser","Medtag lagerbevægelser","Include stock movements","Fügen Sie Lagerbewegungen","Inclure les mouvements de stock","Hisse senedi hareketlerini şunlardır","Incluir los movimientos de existencias","Includi movimenti di magazzino",
"@Medtages på udskrifts side. A:alle, 1:første, !1:ikke første, S:sidste, !S:ikke sidste","Medtages på udskrifts side. A:alle, 1:første, !1:ikke første, S:sidste, !S:ikke sidste","Included on the print side. A: all, 1: first!1: not the first, S: last!S: not last","Geschlossen auf der Druckseite. A: alle, 1: zuerst!1: nicht der erste, S: reicht!S: nicht zuletzt","Inclus sur le côté d'impression. A: all, 1: première!1: pas la première, S: durer!S: pas la dernière","Baskı yüzü dahil. A: Tüm 1: İlk!1: ilk değil, S: son!S: Geçen değil","Incluido en el lado de impresión. A: all, 1: en primer lugar!1: no es la primera, S: durar!S: No última","Incluso sul lato di stampa. A: all, 1: in primo luogo!1: non il primo, S: durare!S: Non ultima",
"@Min.","Min.","Min.","Minute","Min.","Min.","Min.","Min.",
"@Mobil","Mobil","Tel: +45 26 31 42 27","mobil","mobile","hareketli","móvil","mobile",
"@Modkonto ved udligning af åbne poster","Modkonto ved udligning af åbne poster","Offset account the clearing of open items","Gegenkonto der Ausgleich der offenen Posten","Offset compte la compensation des éléments ouverts","hesap açık kalemlerin takas Ofset","Offset cuenta la compensación de partidas abiertas","Offset conto della compensazione di partite aperte",
"@Modkonto","Modkonto","Offset Account","Gegenkonto","compte Offset","ofset Hesap","cuenta Offset","conto di contropartita",
"@Modt...","Modt...","Met...","Rec ...","Rec ...","Rec ...","Rec ...","Rec ...",
"@Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato","Modt.dato",
"@Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.","Modt.nr.",
"@Modtage...","Modtage...","Receive...","Erhalten Sie ...","Recevoir ...","Alma ...","Recibe ...","Ricevere ...",
"@Modtagelses datoen","Modtagelses datoen","reception date","Empfangsdatum","Date de réception","alım tarihi","fecha de recepción","data di ricezione",
"@Modtagelses nummer for periodens første bilag","Modtagelses nummer for periodens første bilag","Reception number for the period's first Annex","Empfangsnummer für die erste Anlage Periode","Numéro de réception pour la première annexe de la période","dönemin ilk Annex Resepsiyon numarası","número de recepción para el primer anexo del periodo","numero di ricezione per il primo allegato del periodo",
"@Modtager navn","Modtager navn","Receiver name","Empfänger-Name","nom du destinataire","Alıcı adı","nombre del receptor","nome destinatario",
"@Modtagerens Email adresse","Modtagerens Email adresse","Recipient's Email","Empfänger E-Mail an","Courriel du destinataire","Alıcının E-Posta","Correo electrónico del destinatario","E-mail del destinatario",
"@Modtaget af","Modtaget af","Received by","erhalten durch","reçue par","tarafından alınan","recibida por","ricevuto da",
"@Modtaget dato","Modtaget dato","Received date","Datum empfangen","date de réception","tarih aldı","fecha de recepción","data di ricezione",
"@Moms %-sats for den posterede leverance","Moms %-sats for den posterede leverance","VAT% rate for the posted delivery","MwSt% Preis für die gebuchte Lieferung","TVA taux% pour la livraison posté","haberi teslimat için KDV% oranı","IVA% para la entrega publicado","tasso% di IVA per la consegna postato",
"@Moms %-sats","Moms %-sats","VAT% rate","MwSt% -Rate","TVA taux%","KDV% oranı","tasa% de IVA","aliquota IVA%",
"@Moms %.","Moms %.","VAT%.","MwSt%.","TVA%.","KDV%.","IVA%.","IVA%.",
"@Moms af varekøb i udlandet: ","Moms af varekøb i udlandet: ","VAT on goods purchased abroad: ","Mehrwertsteuer auf Waren gekauft im Ausland: ","TVA sur les biens achetés à l'étranger: ","mallar üzerindeki KDV yurt dışında satın: ","IVA sobre los bienes comprados en el extranjero: ","IVA sui beni acquistati all'estero: ",
"@Moms af varekøb m.v. i udlandet","Moms af varekøb m.v. i udlandet","VAT on purchases, etc. abroad","Mehrwertsteuer auf Käufe usw. im Ausland","TVA sur les achats, etc. à l'étranger","vb yurtdışında satın alma, alınan KDV","IVA sobre las compras en el extranjero, etc.","L'IVA sugli acquisti, ecc all'estero",
"@Moms af ydelseskøb i udlandet","Moms af ydelseskøb i udlandet","Moms of ydelseskøb abroad","Mütter von ydelseskøb im Ausland","Les mamans de ydelseskøb à l'étranger","yurt dışında ydelseskøb ve anneler","Madres de ydelseskøb en el extranjero","Mamme di ydelseskøb all'estero",
"@Moms af ydelseskøb i udlandet: ","Moms af ydelseskøb i udlandet: ","Moms of ydelseskøb abroad: ","Mütter von ydelseskøb im Ausland: ","Les mamans de ydelseskøb étranger: ","yurt dışında ydelseskøb annelerini: ","Madres de ydelseskøb el extranjero: ","Mamme di ydelseskøb all'estero: ",
"@Moms fri","Moms fri","tax free","steuerfrei","libre d'impôt","vergiden muaf","libre de impuestos","esentasse",
"@Moms fri. Afmærk her, hvis ....","Moms fri. Afmærk her, hvis ....","VAT free. Mark here if ....","Mehrwertsteuer frei. Mark hier, wenn ....","TVA libre. Mark ici si ....","KDV ücretsiz. Burada eğer Mark ....","sin IVA. Marcar aquí si ....","Esenti IVA. Mark qui se ....",
"@Moms indstillinger:","Moms indstillinger:","Tax options:","Steuermöglichkeiten:","Options fiscales:","Vergi seçenekleri:","opciones de impuestos:","opzioni fiscali:",
"@Moms pct.sats","Moms pct.sats","VAT pct.sats","MwSt pct.sats","pct.sats TVA","KDV pct.sats","pct.sats IVA","pct.sats IVA",
"@Moms","Moms","Moms","Moms","Moms","anneler","Las mamás","Moms",
"@Moms%","Moms%","VAT%","MwSt%","TVA%","KDV%","IVA%","IVA%",
"@Moms...","Moms...","Moms ...","Moms ...","Moms ...","Anneler ...","Las mamás ...","Mamme ...",
"@Momsangivelse","Momsangivelse","VAT Statement","MwSt Statement","Déclaration de TVA","KDV beyannamesi","Declaración de IVA","Dichiarazione IVA",
"@Momsgr...","Momsgr...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...","Momsgr ...",
"@Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp","Momsgrp",
"@Momsgruppe for salgsmoms ved omvendt betalingspligt.","Momsgruppe for salgsmoms ved omvendt betalingspligt.","Tax Group sales VAT on reverse charge.","Steuerkonzernumsatz Mehrwertsteuer auf Reverse-Charge.","Tax Group TVA de vente sur autoliquidation.","Ters şarjla Vergi Grup satışları KDV.","Grupo IVA en las ventas de autoliquidación.","Gruppo IVA vendite sul reverse charge.",
"@Momsgruppe som debitorgruppen skal tilknyttes.","Momsgruppe som debitorgruppen skal tilknyttes.","Tax Group as the debtor group to be assigned.","Steuergruppe wie der Schuldner Gruppe zugeordnet werden.","Groupe fiscal en tant que groupe débiteur à attribuer.","Borçlu grubu olarak vergi Grup atanacak.","Grupo de impuestos como el grupo deudor que se asignará.","Fiscale di Gruppo come il gruppo debitore da assegnare.",
"@Momsgruppe som kreditorgruppen skal tilknyttes.","Momsgruppe som kreditorgruppen skal tilknyttes.","Tax Group as a creditor group to be assigned.","Steuergruppe als Gläubiger Gruppe zugeordnet werden.","Groupe fiscal comme un groupe de créanciers à attribuer.","Bir alacaklı grubu olarak vergi Grup atanacak.","Grupo Fiscal como un grupo de acreedores que se asignará.","Tax Group come gruppo creditore da assegnare.",
"@Momskode for salgspriser på varekort","Momskode for salgspriser på varekort","Tax code for sales prices on the item card","Steuercode für Verkaufspreise auf dem Artikelkarte","code fiscal pour les prix de vente sur la carte de l'article","madde kartındaki satış fiyatları vergi kodu","código de impuestos para los precios de venta de la tarjeta elemento","Codice fiscale per i prezzi di vendita sulla scheda voce",
"@Momskode","Momskode","tax Code","Steuer-Code","Code fiscal","vergi Kodu","Código de impuestos","Codice fiscale",
"@Momskode: K_:Købs... S_:Salgs... Y_:Ydelser, E_:, ","Momskode: K_:Købs... S_:Salgs... Y_:Ydelser, E_:, ","VAT code: K_: Purchase ... S_: Sales ... Y_: Benefits, E_ :, ","MwSt Code: K_: Kauf ... S_: Verkauf ... Y_: Vorteile, E_:, ","Code TVA: K_: Achat ... S_: Sales ... Y_: Avantages, E_:, ","KDV kodu: K_: Satın Alma ... S_: Satış ... Y_: Faydaları, E_: ","Código de IVA: K_: Compra ... S_: Ventas ... Y_: Prestaciones, E_:, ","IVA: K_: Acquisto ... S_: Vendite ... Y_: Vantaggi, E_:, ",
"@Momsrapport (konti som skal indgå i momsrapport): ","Momsrapport (konti som skal indgå i momsrapport): ","Tax Report (accounts to be included in the tax report): ","Steuerbericht (Konten in der Steuererklärung aufgenommen werden): ","Rapport d'impôt (comptes à inclure dans le rapport d'impôt): ","Vergi Raporu (hesaplar vergi raporunda dahil edilecek): ","Informe de impuestos (cuentas que se incluirán en el informe de impuestos): ","Relazione fiscale (conti da includere nel rapporto delle imposte): ",
"@Momsrapport","Momsrapport","tax Report","Steuerbericht","Rapport d'impôt","vergi Raporu","Informe de impuestos","Rapporto fiscale",
"@Momssats for ydelsen","Momssats for ydelsen","VAT rate for the service","Mehrwertsteuersatz für den Service","taux de TVA pour le service","hizmet için KDV oranı","tipo del IVA para el servicio","aliquota IVA per il servizio",
"@Momssats","Momssats","VAT Rate","MwSt bewerten","Taux de TVA","KDV Oranı","tasa de IVA","IVA Tasso",
"@MySQL findes.","MySQL findes.","MySQL is available.","MySQL ist verfügbar.","MySQL est disponible.","MySQL kullanılabilir.","MySQL está disponible.","MySQL è disponibile.",
"@Måned","Måned","Month","Monat","mois","ay","mes","mese",
"@Måned:","Måned:","Month:","Monat:","mois:","ay:","mes:","mese:",
"@Månedsliste","Månedsliste","month List","Monat Liste","Liste mois","ay listesi","Lista mes","Lista mese",
"@Mængden af den aktuelle leverance.","Mængden af den aktuelle leverance.","The amount of the current supply.","Die Höhe der Stromversorgung.","Le montant de l'offre actuelle.","akım kaynağı miktarı.","La cantidad de la alimentación de corriente.","La quantità di corrente di alimentazione.",
"@Mængden angivet som antal","Mængden angivet som antal","The amount listed as number","Der als Nummer aufgelistet","Le montant répertorié sous le numéro","sayı olarak listelenen tutar","La cantidad que aparece como el número","L'importo indicato come numero",
"@Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:","Mængederabatter:",
"@Navigation:","Navigation:","Navigation:","Navigation:","Navigation:","navigasyon:","navegación:","navigazione:",
"@Navn på en bruger, som i forvejen har tilladelse til at oprette, rette og slette databaser. ","Navn på en bruger, som i forvejen har tilladelse til at oprette, rette og slette databaser. ","Name of a user who already has permission to create, edit and delete databases. ","Name eines Benutzers, der bereits die Erlaubnis hat zu erstellen, zu bearbeiten und zu löschen Datenbanken. ","Nom d'un utilisateur qui a déjà l'autorisation de créer, modifier et supprimer des bases de données. ","Zaten veritabanları oluşturmak, düzenlemek ve silmek için izni olan bir kullanıcı adı. ","Nombre de un usuario que ya tiene permiso para crear, editar y eliminar bases de datos. ","Nome di un utente che ha già permesso di creare, modificare ed eliminare i database. ",
