"!SYSTEM-key :Dansk (Med prefix: @)","da:Dansk (Denmark:Danish da-DK)","en:English (United Kingdom:English en-GB)","de:Deutsch (Germany:German de-DE)","fr:Français (France:French fr-FR)","tr:Türkçe (Turkey:Turkish tr-TR)","pl:Polish (Poland pl-PL)","es:Español (Spain:Spanish es-ES)","it:italian"
"@Ny ordre, endnu uden kundetilknytning!","New order, even without customer connection!","Neuer Auftrag, auch ohne Kundenbindung!","Nouvel ordre, même sans connexion à la clientèle!","Hatta müşteri bağlantısı olmadan yeni düzen!","Nowy porządek, nawet bez połączenia klienta!","Nuevo orden, incluso sin conexión del cliente!","Nuovo ordine, anche in assenza di connessione del cliente!"
"@Ny status","new status","neuen Status","nouveau statut","yeni durum","nowy status","nuevo estatus","nuovo status"
"@Ny tekst","new text","neuen Text","nouveau texte","yeni metin","nowy tekst","nuevo texto","nuovo testo"
"@Ny tjekliste","new checklist","neue Checkliste","nouvelle liste de contrôle","yeni kontrol listesi","nowa lista kontrolna","nueva lista de verificación","nuova lista di controllo"
"@Ny vare","new product","neues Produkt","nouveau produit","yeni ürün","nowy produkt","nuevo producto","nuovo prodotto"
"@Ny variant værdi","New variant value","Neue Variante Wert","Nouvelle valeur variant","Yeni varyant değeri","Nowa wartość variant","Nuevo valor de la variante","valore di nuova variante"
"@Ny variant","New variant","neue Variante","nouvelle variante","yeni varyant","nowy wariant","nueva variante","nuova variante"
"@Ny","New","neu","nouveau","yeni","nowy","nuevo","nuovo"
"@Nyheder","Nyheder","News","Nachrichten","nouvelles","haber","aktualności","noticias","notizie"
"@Nyheder:","Nyheder:","News:","News:","Nouvelles:","haber:","Aktualności:","Noticias:","News:"
"@Nyt budget:","Nyt budget:","New budget:","Neues Budget:","Le nouveau budget:","Yeni bütçe:","Nowy budżet:","Nuevo presupuesto:","Nuovo budget:"
"@Nyt felt:","Nyt felt:","New field:","Neues Feld:","Nouveau champ:","Yeni alan:","Nowe pole:","Nuevo campo:","Nuovo campo:"
"@Nyt sprog","Nyt sprog","new language","neue Sprache","nouvelle langue","yeni bir dil","nowy język","nuevo idioma","nuova lingua"
"@Når der på nogle knapper, er angivet f.eks. ´x´ betyder det, at der er oprettet en genvejs-tast, som kan benyttes i stedet for at klikke på tasten.","Når der på nogle knapper, er angivet f.eks. ´x´ betyder det, at der er oprettet en genvejs-tast, som kan benyttes i stedet for at klikke på tasten.","When some buttons are set for example. 'x' means that there is created a shortcut key that can be used instead of clicking the button.","Wenn einige Tasten sind zum Beispiel festgelegt. ""X"" bedeutet, dass es eine Tastenkombination erstellt, die anstelle von Klick auf den Button verwendet werden kann.","Lorsque certains boutons sont définis par exemple. 'X' signifie que l'on crée une touche de raccourci qui peut être utilisé au lieu de cliquer sur le bouton.","bazı düğmeler örneğin ayarlandığında. 'X' butonuna tıklayarak yerine kullanılabilecek bir kısayol tuşu var oluşturulan anlamına gelir.","Gdy niektóre przyciski są np. ""X"" oznacza, że ​​tworzony jest skrót klawiszowy, który może być stosowany zamiast kliknięcie przycisku.","Cuando algunos botones se fijan por ejemplo. 'X' significa que se crea una tecla de acceso directo que se puede utilizar en lugar de pulsar el botón.","Quando alcuni pulsanti sono impostati per esempio. 'X' significa che ci si crea un tasto di scelta rapida che può essere utilizzato al posto del clic sul pulsante."
"@Når dette felt er afmærket, vises priser på kundeordrer, fakturaudskrifter osv. inkl. moms.","Når dette felt er afmærket, vises priser på kundeordrer, fakturaudskrifter osv. inkl. moms.","When this box is marked, the prices for customer orders, invoice printing and so on. Incl. VAT.","Wenn dieses Kästchen markiert ist, Druck die Preise für Kundenaufträge, Rechnung und so weiter. Incl. MwSt.","Lorsque cette case est cochée, les prix pour les commandes des clients, l'impression de la facture et ainsi de suite. Incl. TVA.","Bu kutu işaretlendiğinde, müşteri siparişleri, fatura baskı vb. Incl ulaşabilirsiniz. KDV.","Gdy to pole jest zaznaczone, ceny dla zamówień klientów, drukowanie faktur i tak dalej. Wew. VAT.","Cuando esta casilla está marcada, los precios de pedidos de clientes, impresión de facturas y así sucesivamente. Incl. IVA.","Quando questa casella è segnata, i prezzi per gli ordini dei clienti, la stampa della fattura e così via. Incl. IVA."
"@Når dette felt er afmærket, vises priser på salgsordrer, fakturaudskrifter osv. inkl. moms.","Når dette felt er afmærket, vises priser på salgsordrer, fakturaudskrifter osv. inkl. moms.","When this box is marked, the prices for sales orders, invoice printing and so on. Incl. VAT.","Wenn dieses Kästchen markiert ist, Druck, die Preise für Kundenaufträge, Rechnung und so weiter. Incl. MwSt.","Lorsque cette case est cochée, les prix des commandes, l'impression de la facture et ainsi de suite. Incl. TVA.","Bu kutu satış siparişleri, fatura baskı vb. Incl için, fiyatlar işaretlendiğinde. KDV.","Gdy ta opcja jest zaznaczona, ceny dla zleceń sprzedaży, drukowanie faktur i tak dalej. Wew. VAT.","Cuando esta casilla está marcada, los precios de órdenes de venta, impresión de facturas y así sucesivamente. Incl. IVA.","Quando questa casella è segnata, i prezzi per gli ordini di vendita, la stampa della fattura e così via. Incl. IVA."
"@Når ordren er faktureret, afmærkes feltet automatisk","Når ordren er faktureret, afmærkes feltet automatisk","When the order is billed, marked box automatically","Wenn die Bestellung in Rechnung gestellt wird, markiert Box automatisch","Lorsque la commande est facturée, boîte marquée automatiquement","Sipariş fatura edildiğinde, otomatik kutu işaretli","Gdy zamówienie jest zapowiadane, oznaczone pole automatycznie","Cuando el pedido se factura, caja marcada de forma automática","Quando l'ordine viene fatturato, scatola marcata automaticamente"
"@Næste konto ->","Næste konto ->","Next Account ->","Nächstes Konto ->","Compte Suivant ->","Sonraki Hesabı ->","Następny Konto ->","Siguiente Cuenta ->","Successivo Account ->"
"@Nødvendig forberedelse:","Nødvendig forberedelse:","Necessary preparation:","Notwendige Vorbereitung:","préparation nécessaire:","Gerekli hazırlığı:","Niezbędne przygotowanie:","preparación necesaria:","preparazione necessaria:"
"@OB","OB","OB","OB","OB","OB","OB","OB","OB"
"@OBS! Der er ingen fortryd mulighed, hvis du fortsætter!","OBS! Der er ingen fortryd mulighed, hvis du fortsætter!","NB! There is no undo option if you continue!","NB! Es gibt keine Undo-Option, wenn Sie weitermachen!","NB! Il n'y a pas d'option d'annulation si vous continuez!","Not! Devam ederseniz hiçbir geri alma seçeneği yoktur!","Uwaga! Nie ma możliwości cofania jeśli nadal!","NB! No hay ninguna opción de deshacer si continúa!","NB! Non esiste alcuna opzione di annullamento se si continua!"
"@OIOUBL","OIOUBL","OIOUBL","OIOUBL","OIOUBL","OIOUBL","OIOUBL","OIOUBL","OIOUBL"
"@OK","OK","OK","Ok","bien","tamam","w porządku","bueno","bene"
"@OPSLAG - alternativ til filter:","OPSLAG - alternativ til filter:","NOTICE - alternative to the filter:","HINWEIS - Alternative zum Filter:","AVIS - alternative au filtre:","DİKKAT - filtreye alternatif:","UWAGA - alternatywa dla filtra:","AVISO - alternativa al filtro:","AVVISO - alternativa al filtro:"
"@Ok","Ok","OK","ok","bien","tamam","w porządku","bueno","bene"
"@Okt","Okt","October","Oktober","octobre","Ekim","październik","octubre","ottobre"
"@Om Bilagshåndtering:","Om Bilagshåndtering:","About Appendix Handling:","Über Anhang Handhabung:","A propos de l'Annexe Manipulation:","Ek Taşıma Hakkında:","O dodatku postępowania:","Sobre el Apéndice Manipulación:","A proposito di Gestione Appendice:"
"@Om backup:","Om backup:","About backup:","Über Backup:","A propos de la sauvegarde:","yedekleme hakkında:","O kopii zapasowej:","Acerca de copia de seguridad:","A proposito di backup:"
"@Om teksterne:","Om teksterne:","About the lyrics:","Über den Text:","A propos des paroles:","ile ilgili sözler:","O tekstach:","Acerca de la letra:","Circa i testi:"
"@Omdøb $ny_kategori til:'; ","Omdøb $ny_kategori til:'; ","Rename $ ny_kategori to: ';","Benennen $ ny_kategori zu: ';","Renommez ny_kategori $ à: ';","için $ ny_kategori yeniden adlandırın: ';","Zmiana nazwy $ ny_kategori do: "";","Cambiar el nombre de $ ny_kategori a: ';","Rinominare $ ny_kategori a: ';"
"@Omdøb","Omdøb","rename","umbenennen","rebaptiser","adını değiştirmek","przemianować","rebautizar","rinominare"
"@Omgående bogføring af købs- og salgsordrer","Omgående bogføring af købs- og salgsordrer","Immediate posting of buy and sell orders","Sofortige Entsendung von Kauf- und Verkaufsaufträge","affichage immédiat des ordres d'achat et de vente","alım ve satım emirlerinin derhal gönderme","Natychmiastowe księgowanie zleceń kupna i sprzedaży","publicación inmediata de órdenes de compraventa","invio immediato di acquisto e in vendita"
"@Omvendt betaligspligt! Afmærk her, hvis denne kundegruppe er omfattet af omvendt betalingspligt.","Omvendt betaligspligt! Afmærk her, hvis denne kundegruppe er omfattet af omvendt betalingspligt.","Conversely betaligspligt! Mark here if this group of customers covered by the reverse charge.","Im Gegensatz dazu betaligspligt! Mark hier, wenn diese Gruppe von Kunden durch die Reverse-Charge abgedeckt.","betaligspligt inverse! Mark ici si ce groupe de clients couverts par la charge inverse.","Tersine betaligspligt! Mark burada ters bir ücret kapsamına giren müşterilerin bu grupta ise.","Odwrotnie betaligspligt! Zaznacz tutaj, jeśli tej grupy klientów objętych odwrotnego obciążenia.","Por el contrario betaligspligt! Marcar aquí si este grupo de clientes cubiertos por la inversión del sujeto pasivo.","Viceversa betaligspligt! Mark qui se questo gruppo di clienti coperti dal reverse charge."
"@Omvendt betaligspligt! Afmærk her, hvis denne leverandørgruppe er omfattet af omvendt betalingspligt.","Omvendt betaligspligt! Afmærk her, hvis denne leverandørgruppe er omfattet af omvendt betalingspligt.","Conversely betaligspligt! Mark here if this supplier group covered by the reverse charge.","Im Gegensatz dazu betaligspligt! Markieren Sie hier, wenn diese Anbieter Gruppe durch die Reverse-Charge abgedeckt.","betaligspligt inverse! Marquez ici si ce groupe de fournisseur couvert par la charge inverse.","Tersine betaligspligt! Bu şirketin grup ters bir ücret kapsamında burada işaretleyin.","Odwrotnie betaligspligt! Zaznaczyć tutaj, jeśli ta grupa dostawców objęte odwrotnego obciążenia.","Por el contrario betaligspligt! Marque aquí si este grupo de proveedores cubierto por la inversión del sujeto pasivo.","Viceversa betaligspligt! Segnare qui se questo gruppo fornitore coperta dal reverse charge."
"@Omvendt betaling","Omvendt betaling","Conversely payment","Im Gegensatz dazu Zahlung","Inversement paiement","Tersine ödeme","odwrotnie płatności","Por el contrario el pago","Al contrario il pagamento"
"@Omvendt betalingspligt ved salg","Omvendt betalingspligt ved salg","Reverse charge mechanism in sales","Reverse-Charge-Mechanismus im Vertrieb","autoliquidation dans les ventes","satış Ters şarj mekanizması","Mechanizmu odwrotnego obciążenia w sprzedaży","mecanismo de inversión en las ventas","meccanismo di inversione delle vendite"
"@Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag","Opbevaring af bilag"
"@Opdater her efter en rettelse af regnskabsår","Opdater her efter en rettelse af regnskabsår","Update here after a correction of year","Aktualisieren Sie hier nach einer Korrektur des Jahres","Mettre à jour ici après une correction de l'année","Yılın bir düzeltme yapıldıktan sonra burada güncelleyin","Aktualizacja tu po korekcie roku","Actualizar aquí después de una corrección del año","Aggiornare qui dopo una correzione di anno"
"@Opdater ikke kostpris","Opdater ikke kostpris","Do not update cost","nicht aktualisieren Kosten","Ne pas mettre à jour le coût","maliyeti güncelleme yapmayın","Nie aktualizuj koszt","No actualizar costo","Non aggiornare costo"
"@Opdater kostpriser","Opdater kostpriser","Reload cost","Reload Kosten","coût de Reload","Sayfaya maliyeti","koszt Odśwież","coste de recarga","costo Ricarica"
"@Opdater priser.","Opdater priser.","Refresh prices.","Aktualisieren Preise.","prix Refresh.","Yenile fiyatlar.","Odśwież ceny.","los precios de actualización.","i prezzi di aggiornamento."
"@Opdatér feltet herunder med information fra ordren?","Opdatér feltet herunder med information fra ordren?","Updating the field including information from the order?","Aktualisieren Sie das Feld einschließlich Informationen aus der Bestellung?","Mise à jour du terrain, y compris des informations de l'ordre?","düzenden bilgileri de dahil olmak alanı güncelleniyor?","Aktualizacja pola łącznie z informacjami z rzędu?","Actualizando el campo incluida la información de la orden?","L'aggiornamento del campo comprese le informazioni dall'ordine?"
"@Opdatér","Opdatér","Update","Aktualisierung","mettre à jour","güncelleştirme","aktualizacja","actualización","aggiornare"
"@Opera-tion","Opera-tion","Operation","Opera-tion","Opera-tion","Opera-yon","Opera-nia","Opera-ción","Opera-zione"
"@Operation. Afmærk her, hvis ..","Operation. Afmærk her, hvis ..","Operation. Mark here if ..","Operation. Markieren Sie hier, wenn ..","Opération. Marquez ici si ..","Operasyon. Burada eğer işaretle ..","Operacja. Zaznaczyć tutaj, jeśli ..","Operación. Marque aquí si ..","Operazione. Segnare qui se .."
"@Opret Ny","Opret Ny","Create new","Neu erstellen","Créer un nouveau","Yeni oluştur","Utwórz nowy","crear nuevo","Crea nuovo"
"@Opret Tilbud","Opret Tilbud","Create Offers","erstellen Angebote","Offres Créer","Teklifler oluşturma","Tworzenie oferty","crear ofertas","creare offerte"
"@Opret en ny kategori: Skriv navnet på kategorien her.","Opret en ny kategori: Skriv navnet på kategorien her.","Create a new category: Type the name of the category here.","Erstellen Sie eine neue Kategorie: Geben Sie den Namen der Kategorie hier.","Créer une nouvelle catégorie: Tapez le nom de la catégorie ici.","Yeni bir kategori oluşturmak: burada kategorinin adını yazın.","Utwórz nową kategorię: Wpisz nazwę kategorii tutaj.","Crear una nueva categoría: escriba el nombre de la categoría aquí.","Creare una nuova categoria: digitare il nome della categoria qui."
"@Opret en ny kontakt","Opret en ny kontakt","Create a new contact","Erstellen Sie einen neuen Kontakt","Créer un nouveau contact","Yeni bir kartvizit oluşturma","Utwórz nowy kontakt","Crear un nuevo contacto","Creare un nuovo contatto"
"@Opret ny debitor","Opret ny debitor","Create new customer","Erstellen Sie neue Kunden","Créer un nouveau client","Yeni müşteri oluştur","Tworzenie nowego klienta","Crear nuevo cliente","Creare un nuovo cliente"
"@Opret ny ordre","Opret ny ordre","Create new order","Erstellen Sie neue Ordnung","Créer nouvel ordre","Yeni bir sipariş oluşturun","Tworzenie nowego porządku","Crear nuevo orden","Crea un nuovo ordine"
